Function,Argument,Utterance
matplotlib.pyplot.barh,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.pyplot.barh,agg_filter,set agg_filter fuction .
matplotlib.pyplot.barh,align,"If edge , aligns bars by their left edges ( for vertical bars ) and by their bottom edges ( for horizontal bars ) .|||If edge , aligns bars by their left edges ( for vertical bars ) and by their bottom edges ( for horizontal bars ) . If center , interpret the left argument as the coordinates of the centers of the bars ."
matplotlib.pyplot.barh,alpha,Set the alpha tranparency of the patch .
matplotlib.pyplot.barh,anchor,anchor
matplotlib.pyplot.barh,animated,Set the artist 's animation state .
matplotlib.pyplot.barh,antialiased,Set whether to use antialiased rendering
matplotlib.pyplot.barh,aspect,aspect
matplotlib.pyplot.barh,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.pyplot.barh,barlinecols,"Returns ( plotline , caplines , barlinecols ) :"
matplotlib.pyplot.barh,barsabove,"if True , will plot the errorbars above the plot symbols . Default is below .|||if True , will plot the errorbars above the plot symbols ."
matplotlib.pyplot.barh,bottom,the y coordinate(s ) of the bars
matplotlib.pyplot.barh,caplines,"Returns ( plotline , caplines , barlinecols ) :"
matplotlib.pyplot.barh,capsize,"The length of the error bar caps in points ; if None , it will take the value from errorbar.capsize rcParam .|||determines the length in points of the error bar caps default : None , which will take the value from the errorbar.capsize rcParam ."
matplotlib.pyplot.barh,capstyle,Set the patch capstyle
matplotlib.pyplot.barh,capthick,"An alias kwarg to markeredgewidth ( a.k.a. - mew ) . This setting is a more sensible name for the property that controls the thickness of the error bar cap in points . For backwards compatibility , if mew or markeredgewidth are given , then they will over-ride capthick . This may change in future releases .|||An alias kwarg to markeredgewidth ( a.k.a. - mew ) ."
matplotlib.pyplot.barh,clip_box,Set the artist 's clip Bbox .
matplotlib.pyplot.barh,clip_on,Set whether artist uses clipping .
matplotlib.pyplot.barh,clip_path,"Set the artist 's clip path , which may be"
matplotlib.pyplot.barh,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.pyplot.barh,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.pyplot.barh,color,the colors of the bars|||Set both the edgecolor and the facecolor .
matplotlib.pyplot.barh,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.pyplot.barh,contains,Replace the contains test used by this artist .
matplotlib.pyplot.barh,cursor_props,Set the cursor property as
matplotlib.pyplot.barh,ecolor,"specifies the color of errorbar(s )|||A matplotlib color arg which gives the color the errorbar lines ; if None , use the color of the line connecting the markers ."
matplotlib.pyplot.barh,edgecolor,Set the patch edge color|||the colors of the bar edges
matplotlib.pyplot.barh,elinewidth,"The linewidth of the errorbar lines . If None , use the linewidth .|||The linewidth of the errorbar lines ."
matplotlib.pyplot.barh,error_kw :,dictionary of kwargs to be passed to errorbar method . ecolor and capsize may be specified here rather than as independent kwargs .|||dictionary of kwargs to be passed to errorbar method .
matplotlib.pyplot.barh,errorevery,"subsamples the errorbars .|||subsamples the errorbars . e.g. , if errorevery=5 , errorbars for every 5-th datapoint will be plotted . The data plot itself still shows all data points ."
matplotlib.pyplot.barh,facecolor,Set the patch face color
matplotlib.pyplot.barh,figure,Set the Figure instance the artist belongs to .
matplotlib.pyplot.barh,fill,Set whether to fill the patch
matplotlib.pyplot.barh,fmt,"The plot format symbol . If fmt is ' none ' ( case-insensitive ) , only the errorbars are plotted . This is used for adding errorbars to a bar plot , for example . Default is ' ' , an empty plot format string ; properties are then identical to the defaults for plot ( ) .|||If not used with labeled data ( i.e. , without a data argument ) , an arbitrary number of x , y , fmt groups can be specified , as in :|||The plot format symbol ."
matplotlib.pyplot.barh,gid,Sets the ( group ) id for the artist
matplotlib.pyplot.barh,hatch,Set the hatching pattern
matplotlib.pyplot.barh,height,the heights of the bars
matplotlib.pyplot.barh,joinstyle,Set the patch joinstyle
matplotlib.pyplot.barh,label,Set the label to s for auto legend .
matplotlib.pyplot.barh,left,the x coordinates of the left sides of the bars
matplotlib.pyplot.barh,linestyle,Set the patch linestyle
matplotlib.pyplot.barh,linewidth,"width of bar edge(s ) .|||width of bar edge(s ) . If None , use default linewidth ; If 0 , do n't draw edges .|||Set the patch linewidth in points"
matplotlib.pyplot.barh,log,"If true , sets the axis to be log scale"
matplotlib.pyplot.barh,lolims,"These arguments can be used to indicate that a value gives only upper/lower limits . In that case a caret symbol is used to indicate this . lims-arguments may be of the same type as xerr and yerr . To use limits with inverted axes , set_xlim ( ) or set_ylim ( ) must be called before errorbar ( ) .|||These arguments can be used to indicate that a value gives only upper/lower limits ."
matplotlib.pyplot.barh,markeredgecolor,"Set the marker edge color|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize and markeredgewith ."
matplotlib.pyplot.barh,markeredgewith,"where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize and markeredgewith ."
matplotlib.pyplot.barh,markerfacecolor,"Set the marker face color .|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize and markeredgewith ."
matplotlib.pyplot.barh,markersize,"Set the marker size in points|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize and markeredgewith ."
matplotlib.pyplot.barh,mec,"where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize and markeredgewith ."
matplotlib.pyplot.barh,mew,"where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize and markeredgewith ."
matplotlib.pyplot.barh,mfc,"where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize and markeredgewith ."
matplotlib.pyplot.barh,ms,"where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize|||where mfc , mec , ms and mew are aliases for the longer property names , markerfacecolor , markeredgecolor , markersize and markeredgewith ."
matplotlib.pyplot.barh,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.pyplot.barh,picker,Set the epsilon for picking used by this artist
matplotlib.pyplot.barh,plotline,"Returns ( plotline , caplines , barlinecols ) :"
matplotlib.pyplot.barh,position,Set the axes position with
matplotlib.pyplot.barh,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.pyplot.barh,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.pyplot.barh,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
matplotlib.pyplot.barh,size_inches,Set the figure size in inches ( 1in = = 2.54cm )
matplotlib.pyplot.barh,sketch_params,Sets the sketch parameters .
matplotlib.pyplot.barh,snap,Sets the snap setting which may be
matplotlib.pyplot.barh,tick_label,the tick labels of the bars
matplotlib.pyplot.barh,title,Set a title for the axes .
matplotlib.pyplot.barh,transform,Set the Transform instance used by this artist .
matplotlib.pyplot.barh,uplims,"These arguments can be used to indicate that a value gives only upper/lower limits . In that case a caret symbol is used to indicate this . lims-arguments may be of the same type as xerr and yerr . To use limits with inverted axes , set_xlim ( ) or set_ylim ( ) must be called before errorbar ( ) .|||These arguments can be used to indicate that a value gives only upper/lower limits ."
matplotlib.pyplot.barh,url,Sets the url for the artist
matplotlib.pyplot.barh,vertices,"The ( n , 2 ) float array , masked array or sequence of pairs representing the vertices of the path ."
matplotlib.pyplot.barh,visible,Set the artist 's visiblity .
matplotlib.pyplot.barh,width,the width(s ) of the bars
matplotlib.pyplot.barh,x,"x , y , xerr , and yerr can all be scalars , which plots a single error bar at x , y .|||Plot lines and/or markers to the Axes . args is a variable length argument , allowing for multiple x , y pairs with an optional format string . For example , each of the following is legal :|||If not used with labeled data ( i.e. , without a data argument ) , an arbitrary number of x , y , fmt groups can be specified , as in :|||Plot x versus y with error deltas in yerr and xerr . Vertical errorbars are plotted if yerr is not None . Horizontal errorbars are plotted if xerr is not None .|||Plot lines and/or markers to the Axes .|||kwargs scalex and scaley , if defined , are passed on to autoscale_view ( ) to determine whether the x and y axes are autoscaled ; the default is True .|||Plot x versus y with error deltas in yerr and xerr .|||If x and/or y is 2-dimensional , then the corresponding columns will be plotted ."
matplotlib.pyplot.barh,xerr,"If a scalar number , len(N ) array-like object , or an Nx1 array-like object , errorbars are drawn at + /-value relative to the data . If a sequence of shape 2xN , errorbars are drawn at - row1 and + row2 relative to the data .|||x , y , xerr , and yerr can all be scalars , which plots a single error bar at x , y .|||Plot x versus y with error deltas in yerr and xerr . Vertical errorbars are plotted if yerr is not None . Horizontal errorbars are plotted if xerr is not None .|||If a scalar number , len(N ) array-like object , or an Nx1 array-like object , errorbars are drawn at + /-value relative to the data .|||Plot x versus y with error deltas in yerr and xerr .|||if not None , will be used to generate errorbar(s ) on the bar chart"
matplotlib.pyplot.barh,xlabel,Set the label for the xaxis .
matplotlib.pyplot.barh,xlim,Set the data limits for the xaxis
matplotlib.pyplot.barh,xlolims,"These arguments can be used to indicate that a value gives only upper/lower limits . In that case a caret symbol is used to indicate this . lims-arguments may be of the same type as xerr and yerr . To use limits with inverted axes , set_xlim ( ) or set_ylim ( ) must be called before errorbar ( ) .|||These arguments can be used to indicate that a value gives only upper/lower limits ."
matplotlib.pyplot.barh,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.pyplot.barh,xscale,Set the scaling of the x-axis
matplotlib.pyplot.barh,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.pyplot.barh,xticks,Set the x ticks with list of ticks
matplotlib.pyplot.barh,xuplims,"These arguments can be used to indicate that a value gives only upper/lower limits . In that case a caret symbol is used to indicate this . lims-arguments may be of the same type as xerr and yerr . To use limits with inverted axes , set_xlim ( ) or set_ylim ( ) must be called before errorbar ( ) .|||These arguments can be used to indicate that a value gives only upper/lower limits ."
matplotlib.pyplot.barh,y,"x , y , xerr , and yerr can all be scalars , which plots a single error bar at x , y .|||Plot lines and/or markers to the Axes . args is a variable length argument , allowing for multiple x , y pairs with an optional format string . For example , each of the following is legal :|||If not used with labeled data ( i.e. , without a data argument ) , an arbitrary number of x , y , fmt groups can be specified , as in :|||Plot x versus y with error deltas in yerr and xerr . Vertical errorbars are plotted if yerr is not None . Horizontal errorbars are plotted if xerr is not None .|||Plot lines and/or markers to the Axes .|||kwargs scalex and scaley , if defined , are passed on to autoscale_view ( ) to determine whether the x and y axes are autoscaled ; the default is True .|||Plot x versus y with error deltas in yerr and xerr .|||If x and/or y is 2-dimensional , then the corresponding columns will be plotted ."
matplotlib.pyplot.barh,yerr,"If a scalar number , len(N ) array-like object , or an Nx1 array-like object , errorbars are drawn at + /-value relative to the data . If a sequence of shape 2xN , errorbars are drawn at - row1 and + row2 relative to the data .|||x , y , xerr , and yerr can all be scalars , which plots a single error bar at x , y .|||Plot x versus y with error deltas in yerr and xerr . Vertical errorbars are plotted if yerr is not None . Horizontal errorbars are plotted if xerr is not None .|||If a scalar number , len(N ) array-like object , or an Nx1 array-like object , errorbars are drawn at + /-value relative to the data .|||Plot x versus y with error deltas in yerr and xerr .|||if not None , will be used to generate errorbar(s ) on the bar chart"
matplotlib.pyplot.barh,ylabel,Set the label for the yaxis
matplotlib.pyplot.barh,ylim,Set the data limits for the yaxis
matplotlib.pyplot.barh,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.pyplot.barh,yscale,Set the scaling of the y-axis
matplotlib.pyplot.barh,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.pyplot.barh,yticks,Set the y ticks with list of ticks
matplotlib.pyplot.barh,zorder,Set the zorder for the artist .
matplotlib.pyplot.box,on,"If on is None , toggle state .|||Turn the axes box on or off .|||Turn the axes box on or off . on may be a boolean or a string , ' on ' or ' off ' ."
matplotlib.pyplot.boxplot,bootstrap,"Specifies whether to bootstrap the confidence intervals around the median for notched boxplots . If bootstrap==None , no bootstrapping is performed , and notches are calculated using a Gaussian-based asymptotic approximation ( see McGill , R. , Tukey , J.W. , and Larsen , W.A. , 1978 , and Kendall and Stuart , 1967 ) . Otherwise , bootstrap specifies the number of times to bootstrap the median to determine it 's 95% confidence intervals . Values between 1000 and 10000 are recommended .|||Specifies whether to bootstrap the confidence intervals around the median for notched boxplots ."
matplotlib.pyplot.boxplot,boxprops,"If provided , will set the plotting style of the boxes"
matplotlib.pyplot.boxplot,capprops,"If provided , will set the plotting style of the caps"
matplotlib.pyplot.boxplot,conf_intervals,"Array or sequence whose first dimension ( or length ) is compatible with x and whose second dimension is 2 .|||Array or sequence whose first dimension ( or length ) is compatible with x and whose second dimension is 2 . When the current element of conf_intervals is not None , the notch locations computed by matplotlib are overridden ( assuming notch is True ) . When an element of conf_intervals is None , boxplot compute notches the method specified by the other kwargs ( e.g. , bootstrap ) ."
matplotlib.pyplot.boxplot,flierprops,"If provided , will set the plotting style of the fliers"
matplotlib.pyplot.boxplot,labels,Labels for each dataset . Length must be compatible with dimensions of x|||Labels for each dataset .
matplotlib.pyplot.boxplot,manage_xticks,If the function should adjust the xlim and xtick locations .
matplotlib.pyplot.boxplot,meanline,"If True ( and showmeans is True ) , will try to render the mean as a line spanning the full width of the box according to meanprops . Not recommended if shownotches is also True . Otherwise , means will be shown as points .|||If True ( and showmeans is True ) , will try to render the mean as a line spanning the full width of the box according to meanprops ."
matplotlib.pyplot.boxplot,meanprops,"If provided , will set the plotting style of the means"
matplotlib.pyplot.boxplot,medianprops,"If provided , will set the plotting style of the medians"
matplotlib.pyplot.boxplot,notch,"If False , produces a rectangular box plot .|||If False , produces a rectangular box plot . If True , will produce a notched box plot"
matplotlib.pyplot.boxplot,patch_artist,If False produces boxes with the Line2D artist If True produces boxes with the Patch artist
matplotlib.pyplot.boxplot,positions,Sets the positions of the boxes .|||Sets the positions of the boxes . The ticks and limits are automatically set to match the positions .
matplotlib.pyplot.boxplot,showbox,"If True , will toggle one the rendering of box"
matplotlib.pyplot.boxplot,showcaps,"If True , will toggle one the rendering of the caps"
matplotlib.pyplot.boxplot,showfliers,"If True , will toggle one the rendering of the fliers"
matplotlib.pyplot.boxplot,showmeans,"If True , will toggle one the rendering of the means"
matplotlib.pyplot.boxplot,sym,"The default symbol for flier points .|||The default symbol for flier points . Enter an empty string ( ' ' ) if you do n't want to show fliers . If None , then the fliers default to ' b + ' If you want more control use the flierprops kwarg ."
matplotlib.pyplot.boxplot,usermedians,"An array or sequence whose first dimension ( or length ) is compatible with x .|||An array or sequence whose first dimension ( or length ) is compatible with x . This overrides the medians computed by matplotlib for each element of usermedians that is not None . When an element of usermedians = = None , the median will be computed by matplotlib as normal ."
matplotlib.pyplot.boxplot,vert,"If True ( default ) , makes the boxes vertical .|||If True ( default ) , makes the boxes vertical . If False , makes horizontal boxes ."
matplotlib.pyplot.boxplot,whis,"As a float , determines the reach of the whiskers past the first and third quartiles ( e.g. , Q3 + whis*IQR , IQR = interquartile range , Q3-Q1 ) . Beyond the whiskers , data are considered outliers and are plotted as individual points . Set this to an unreasonably high value to force the whiskers to show the min and max values . Alternatively , set this to an ascending sequence of percentile ( e.g. , [ 5 , 95 ] ) to set the whiskers at specific percentiles of the data . Finally , whis can be the string ' range ' to force the whiskers to the min and max of the data . In the edge case that the 25th and 75th percentiles are equivalent , whis will be automatically set to ' range ' .|||As a float , determines the reach of the whiskers past the first and third quartiles ( e.g. , Q3 + whis*IQR , IQR = interquartile range , Q3-Q1 ) ."
matplotlib.pyplot.boxplot,whiskerprops,"If provided , will set the plotting style of the whiskers"
matplotlib.pyplot.boxplot,widths,"Either a scalar or a vector and sets the width of each box . The default is 0.5 , or 0.15*(distance between extreme positions ) if that is smaller .|||Either a scalar or a vector and sets the width of each box ."
matplotlib.pyplot.boxplot,x,"The input data .|||Make a box and whisker plot for each column of x or each vector in sequence x .|||Make a box and whisker plot for each column of x or each vector in sequence x . The box extends from the lower to upper quartile values of the data , with a line at the median . The whiskers extend from the box to show the range of the data . Flier points are those past the end of the whiskers ."
matplotlib.pyplot.broken_barh,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.pyplot.broken_barh,agg_filter,set agg_filter fuction .
matplotlib.pyplot.broken_barh,alpha,Set the alpha tranparencies of the collection .
matplotlib.pyplot.broken_barh,anchor,anchor
matplotlib.pyplot.broken_barh,animated,Set the artist 's animation state .
matplotlib.pyplot.broken_barh,antialiased,Set the antialiasing state for rendering .
matplotlib.pyplot.broken_barh,array,Set the image array from numpy array A
matplotlib.pyplot.broken_barh,aspect,aspect
matplotlib.pyplot.broken_barh,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.pyplot.broken_barh,clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.pyplot.broken_barh,clip_box,Set the artist 's clip Bbox .
matplotlib.pyplot.broken_barh,clip_on,Set whether artist uses clipping .
matplotlib.pyplot.broken_barh,clip_path,"Set the artist 's clip path , which may be"
matplotlib.pyplot.broken_barh,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.pyplot.broken_barh,cmap,set the colormap for luminance data
matplotlib.pyplot.broken_barh,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.pyplot.broken_barh,color,Set both the edgecolor and the facecolor .
matplotlib.pyplot.broken_barh,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.pyplot.broken_barh,contains,Replace the contains test used by this artist .
matplotlib.pyplot.broken_barh,cursor_props,Set the cursor property as
matplotlib.pyplot.broken_barh,edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.pyplot.broken_barh,facecolor,Set the facecolor(s ) of the collection .
matplotlib.pyplot.broken_barh,figure,Set the Figure instance the artist belongs to .
matplotlib.pyplot.broken_barh,gid,Sets the ( group ) id for the artist
matplotlib.pyplot.broken_barh,hatch,Set the hatching pattern
matplotlib.pyplot.broken_barh,label,Set the label to s for auto legend .
matplotlib.pyplot.broken_barh,linestyle,Set the patch linestyle|||Set the linestyle(s ) for the collection .
matplotlib.pyplot.broken_barh,linewidth,Set the linewidth(s ) for the collection .
matplotlib.pyplot.broken_barh,norm,set the normalization instance
matplotlib.pyplot.broken_barh,offset_position,Set how offsets are applied .
matplotlib.pyplot.broken_barh,offsets,Set the offsets for the collection .
matplotlib.pyplot.broken_barh,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.pyplot.broken_barh,picker,Set the epsilon for picking used by this artist
matplotlib.pyplot.broken_barh,position,Set the axes position with
matplotlib.pyplot.broken_barh,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.pyplot.broken_barh,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.pyplot.broken_barh,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
matplotlib.pyplot.broken_barh,size_inches,Set the figure size in inches ( 1in = = 2.54cm )
matplotlib.pyplot.broken_barh,sizes,Set the sizes of each member of the collection .
matplotlib.pyplot.broken_barh,sketch_params,Sets the sketch parameters .
matplotlib.pyplot.broken_barh,snap,Sets the snap setting which may be
matplotlib.pyplot.broken_barh,title,Set a title for the axes .
matplotlib.pyplot.broken_barh,transform,Set the Transform instance used by this artist .
matplotlib.pyplot.broken_barh,url,Sets the url for the artist
matplotlib.pyplot.broken_barh,vertices,"The ( n , 2 ) float array , masked array or sequence of pairs representing the vertices of the path ."
matplotlib.pyplot.broken_barh,visible,Set the artist 's visiblity .
matplotlib.pyplot.broken_barh,xlabel,Set the label for the xaxis .
matplotlib.pyplot.broken_barh,xlim,Set the data limits for the xaxis
matplotlib.pyplot.broken_barh,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.pyplot.broken_barh,xranges,A collection of horizontal bars spanning yrange with a sequence of xranges .
matplotlib.pyplot.broken_barh,xscale,Set the scaling of the x-axis
matplotlib.pyplot.broken_barh,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.pyplot.broken_barh,xticks,Set the x ticks with list of ticks
matplotlib.pyplot.broken_barh,ylabel,Set the label for the yaxis
matplotlib.pyplot.broken_barh,ylim,Set the data limits for the yaxis
matplotlib.pyplot.broken_barh,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.pyplot.broken_barh,yrange,A collection of horizontal bars spanning yrange with a sequence of xranges .
matplotlib.pyplot.broken_barh,yscale,Set the scaling of the y-axis
matplotlib.pyplot.broken_barh,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.pyplot.broken_barh,yticks,Set the y ticks with list of ticks
matplotlib.pyplot.broken_barh,zorder,Set the zorder for the artist .
matplotlib.pyplot.clabel,colors,"if None , the color of each label matches the color of the corresponding contour if one string color , e.g. , colors = ' r ' or colors = ' red ' , all labels will be plotted in this color if a tuple of matplotlib color args ( string , float , rgb , etc ) , different labels will be plotted in different colors in the order specified|||if None , the color of each label matches the color of the corresponding contour"
matplotlib.pyplot.clabel,cs,"Adds labels to line contours in cs , where cs is a ContourSet object returned by contour ."
matplotlib.pyplot.clabel,fmt,"a format string for the label . Default is ' %1.3f ' Alternatively , this can be a dictionary matching contour levels with arbitrary strings to use for each contour level ( i.e. , fmt[level]=string ) , or it can be any callable , such as a Formatter instance , that returns a string when called with a numeric contour level .|||a format string for the label ."
matplotlib.pyplot.clabel,fontsize,"size in points or relative size e.g. , ' smaller ' , ' x-large '"
matplotlib.pyplot.clabel,inline,controls whether the underlying contour is removed or not . Default is True .|||controls whether the underlying contour is removed or not .
matplotlib.pyplot.clabel,inline_spacing,"space in pixels to leave on each side of label when placing inline .|||space in pixels to leave on each side of label when placing inline . Defaults to 5 . This spacing will be exact for labels at locations where the contour is straight , less so for labels on curved contours ."
matplotlib.pyplot.clabel,manual,"if True , contour labels will be placed manually using mouse clicks . Click the first button near a contour to add a label , click the second button ( or potentially both mouse buttons at once ) to finish adding labels . The third button can be used to remove the last label added , but only if labels are not inline . Alternatively , the keyboard can be used to select label locations ( enter to end label placement , delete or backspace act like the third mouse button , and any other key will select a label location ) . manual can be an iterable object of x,y tuples . Contour labels will be created as if mouse is clicked at each x,y positions .|||if True , contour labels will be placed manually using mouse clicks ."
matplotlib.pyplot.clabel,rightside_up,"if True ( default ) , label rotations will always be plus or minus 90 degrees from level ."
matplotlib.pyplot.clabel,use_clabeltext,"if True ( default is False ) , ClabelText class ( instead of matplotlib.Text ) is used to create labels . ClabelText recalculates rotation angles of texts during the drawing time , therefore this can be used if aspect of the axes changes .|||if True ( default is False ) , ClabelText class ( instead of matplotlib.Text ) is used to create labels ."
matplotlib.pyplot.clabel,v,only labels contours listed in v .
matplotlib.pyplot.clim,vmax,"If either vmin or vmax is None , the image min/max respectively will be used for color scaling ."
matplotlib.pyplot.clim,vmin,"If either vmin or vmax is None , the image min/max respectively will be used for color scaling ."
matplotlib.pyplot.close,h,"close(h ) where h is a Figure instance , closes that figure"
matplotlib.pyplot.close,name,"close(name ) where name is a string , closes figure with that label"
matplotlib.pyplot.close,num,close(num ) closes figure number num
matplotlib.pyplot.cohere,Cxy,"The return value is a tuple ( Cxy , f ) , where f are the frequencies of the coherence vector ."
matplotlib.pyplot.cohere,Fs,"The sampling frequency ( samples per time unit ) .|||The sampling frequency ( samples per time unit ) . It is used to calculate the Fourier frequencies , freqs , in cycles per time unit . The default value is 2 ."
matplotlib.pyplot.cohere,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.pyplot.cohere,agg_filter,set agg_filter fuction .
matplotlib.pyplot.cohere,alpha,Set the alpha value used for blending - not supported on all backends .
matplotlib.pyplot.cohere,anchor,anchor
matplotlib.pyplot.cohere,animated,Set the artist 's animation state .
matplotlib.pyplot.cohere,antialiased,True if line should be drawin with antialiased rendering
matplotlib.pyplot.cohere,aspect,aspect
matplotlib.pyplot.cohere,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.pyplot.cohere,clip_box,Set the artist 's clip Bbox .
matplotlib.pyplot.cohere,clip_on,Set whether artist uses clipping .
matplotlib.pyplot.cohere,clip_path,"Set the artist 's clip path , which may be"
matplotlib.pyplot.cohere,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.pyplot.cohere,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.pyplot.cohere,color,Set the color of the line
matplotlib.pyplot.cohere,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.pyplot.cohere,contains,Replace the contains test used by this artist .
matplotlib.pyplot.cohere,cursor_props,Set the cursor property as
matplotlib.pyplot.cohere,dash_capstyle,Set the cap style for dashed linestyles
matplotlib.pyplot.cohere,dash_joinstyle,Set the join style for dashed linestyles ACCEPTS
matplotlib.pyplot.cohere,dashes,"Set the dash sequence , sequence of dashes with on off ink in points ."
matplotlib.pyplot.cohere,drawstyle,Set the drawstyle of the plot
matplotlib.pyplot.cohere,f,"The return value is a tuple ( Cxy , f ) , where f are the frequencies of the coherence vector ."
matplotlib.pyplot.cohere,figure,Set the Figure instance the artist belongs to .
matplotlib.pyplot.cohere,fillstyle,Set the marker fill style ; ' full ' means fill the whole marker .
matplotlib.pyplot.cohere,gid,Sets the ( group ) id for the artist
matplotlib.pyplot.cohere,hatch,Set the hatching pattern
matplotlib.pyplot.cohere,label,Set the label to s for auto legend .
matplotlib.pyplot.cohere,linestyle,"Set the linestyle of the line ( also accepts drawstyles , e.g. , ' steps - - ' )|||Set the patch linestyle"
matplotlib.pyplot.cohere,linewidth,Set the line width in points
matplotlib.pyplot.cohere,marker,Set the line marker
matplotlib.pyplot.cohere,markeredgecolor,Set the marker edge color
matplotlib.pyplot.cohere,markeredgewidth,Set the marker edge width in points
matplotlib.pyplot.cohere,markerfacecolor,Set the marker face color .
matplotlib.pyplot.cohere,markerfacecoloralt,Set the alternate marker face color .
matplotlib.pyplot.cohere,markersize,Set the marker size in points
matplotlib.pyplot.cohere,markevery,Set the markevery property to subsample the plot when using markers .
matplotlib.pyplot.cohere,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.pyplot.cohere,picker,Sets the event picker details for the line .|||Set the epsilon for picking used by this artist
matplotlib.pyplot.cohere,pickradius,Sets the pick radius used for containment tests
matplotlib.pyplot.cohere,position,Set the axes position with
matplotlib.pyplot.cohere,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.pyplot.cohere,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.pyplot.cohere,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
