Function,Utterance
matplotlib.font_manager.get_fontext_synonyms,Return a list of file extensions extensions that are synonyms for the given file extension fileext .
matplotlib.font_manager.is_opentype_cff_font,Returns True if the given font is a Postscript Compact Font Format Font embedded in an OpenType wrapper .
matplotlib.font_manager.list_fonts,"Return a list of all fonts matching any of the extensions , possibly upper-cased , found recursively under the directory ."
matplotlib.font_manager.pickle_dump,"Equivalent to pickle.dump(data , open(filename , ' w ' ) ) but closes the file to prevent filehandle leakage ."
matplotlib.font_manager.pickle_load,"Equivalent to pickle.load(open(filename , ' r ' ) ) but closes the file to prevent filehandle leakage ."
matplotlib.font_manager.ttfFontProperty,A function for populating the FontKey by extracting information from the TrueType font file .
matplotlib.font_manager.ttfdict_to_fnames,flatten a ttfdict to all the filenames it contains
matplotlib.font_manager.weight_as_number,Return the weight property as a numeric value .
matplotlib.font_manager.win32FontDirectory,Return the user-specified font directory for Win32 .
matplotlib.font_manager.win32InstalledFonts,"Search for fonts in the specified font directory , or use the system directories if none given ."
matplotlib.fontconfig_pattern.FontconfigPatternParser.parse,Parse the given fontconfig pattern and return a dictionary of key/value pairs useful for initializing a font_manager.FontProperties object .
matplotlib.fontconfig_pattern.family_escape,"sub(repl , string [ , count = 0 ] ) - - > newstring Return the string obtained by replacing the leftmost non-overlapping occurrences of pattern in string by the replacement repl ."
matplotlib.fontconfig_pattern.family_unescape,"sub(repl , string [ , count = 0 ] ) - - > newstring Return the string obtained by replacing the leftmost non-overlapping occurrences of pattern in string by the replacement repl ."
matplotlib.fontconfig_pattern.generate_fontconfig_pattern,"Given a dictionary of key/value pairs , generates a fontconfig pattern string ."
matplotlib.fontconfig_pattern.value_escape,"sub(repl , string [ , count = 0 ] ) - - > newstring Return the string obtained by replacing the leftmost non-overlapping occurrences of pattern in string by the replacement repl ."
matplotlib.fontconfig_pattern.value_unescape,"sub(repl , string [ , count = 0 ] ) - - > newstring Return the string obtained by replacing the leftmost non-overlapping occurrences of pattern in string by the replacement repl ."
matplotlib.get_backend,Return the name of the current backend .
matplotlib.gridspec.GridSpec.get_subplot_params,return a dictionary of subplot layout parameters .
matplotlib.gridspec.GridSpec.tight_layout,Adjust subplot parameters to give specified padding .
matplotlib.gridspec.GridSpec.update,Update the current values .
matplotlib.gridspec.GridSpecBase.get_geometry,"get the geometry of the grid , e.g. , 2,3"
matplotlib.gridspec.GridSpecBase.get_grid_positions,"return lists of bottom and top position of rows , left and right positions of columns ."
matplotlib.gridspec.GridSpecBase.new_subplotspec,create and return a SuplotSpec instance .
matplotlib.gridspec.GridSpecFromSubplotSpec.get_subplot_params,return a dictionary of subplot layout parameters .
matplotlib.gridspec.GridSpecFromSubplotSpec.get_topmost_subplotspec,get the topmost SubplotSpec instance associated with the subplot
matplotlib.gridspec.SubplotSpec.get_geometry,"get the subplot geometry , e.g. , 2,2,3 ."
matplotlib.gridspec.SubplotSpec.get_position,update the subplot position from fig.subplotpars
matplotlib.gridspec.SubplotSpec.get_topmost_subplotspec,get the topmost SubplotSpec instance associated with the subplot
matplotlib.image.AxesImage.get_cursor_data,Get the cursor data for a given event
matplotlib.image.AxesImage.get_extent,Get the image extent
matplotlib.image.AxesImage.set_extent,"extent is data axes ( left , right , bottom , top ) for making image plots"
matplotlib.image.BboxImage.contains,Test whether the mouse event occured within the image .
matplotlib.image.BboxImage.get_size,"Get the numrows , numcols of the input image"
matplotlib.image.FigureImage.contains,Test whether the mouse event occured within the image .
matplotlib.image.FigureImage.get_extent,Get the image extent
matplotlib.image.FigureImage.get_size,"Get the numrows , numcols of the input image"
matplotlib.image.FigureImage.set_array,Deprecated ; use set_data for consistency with other image types .
matplotlib.image.FigureImage.set_data,Set the image array .
matplotlib.image.FigureImage.write_png,Write the image to png file with fname
matplotlib.image.NonUniformImage.set_data,"Set the grid for the pixel centers , and the pixel values ."
matplotlib.image.PcolorImage.set_alpha,Set the alpha value used for blending - not supported on all backends
matplotlib.image.imread,Read an image from a file into an array .
matplotlib.image.imsave,Save an array as in image file .
matplotlib.image.pil_to_array,Load a PIL image and return it as a numpy array .
matplotlib.image.thumbnail,make a thumbnail of image in infile with output filename thumbfile .
matplotlib.legend.Legend.draggable,Set the draggable state - - if state is
matplotlib.legend.Legend.draw,Draw everything that belongs to the legend
matplotlib.legend.Legend.draw_frame,b is a boolean .
matplotlib.legend.Legend.get_bbox_to_anchor,return the bbox that the legend will be anchored
matplotlib.legend.Legend.get_children,return a list of child artists
matplotlib.legend.Legend.get_frame,return the Rectangle instance used to frame the legend
matplotlib.legend.Legend.get_frame_on,Get whether the legend box patch is drawn
matplotlib.legend.Legend.get_legend_handler_map,return the handler map .
matplotlib.legend.Legend.get_lines,return a list of lines.Line2D instances in the legend
matplotlib.legend.Legend.get_patches,return a list of patch instances in the legend
matplotlib.legend.Legend.get_texts,return a list of text.Text instance in the legend
matplotlib.legend.Legend.get_title,return Text instance for the legend title
matplotlib.legend.Legend.get_window_extent,return a extent of the legend
matplotlib.legend.Legend.set_bbox_to_anchor,set the bbox that the legend will be anchored .
matplotlib.legend.Legend.set_frame_on,Set whether the legend box patch is drawn
matplotlib.legend.Legend.set_title,set the legend title .
matplotlib.legend_handler.HandlerBase.legend_artist,Return the artist that this HandlerBase generates for the given original artist/handle .
matplotlib.lines.Line2D.contains,Test whether the mouse event occurred on the line .
matplotlib.lines.Line2D.draw,draw the Line with renderer unless visibility is False
matplotlib.lines.Line2D.get_aa,alias for get_antialiased
matplotlib.lines.Line2D.get_c,alias for get_color
matplotlib.lines.Line2D.get_dash_capstyle,Get the cap style for dashed linestyles
matplotlib.lines.Line2D.get_dash_joinstyle,Get the join style for dashed linestyles
matplotlib.lines.Line2D.get_data,"Return the xdata , ydata ."
matplotlib.lines.Line2D.get_fillstyle,return the marker fillstyle
matplotlib.lines.Line2D.get_ls,alias for get_linestyle
matplotlib.lines.Line2D.get_lw,alias for get_linewidth
matplotlib.lines.Line2D.get_markevery,return the markevery setting
matplotlib.lines.Line2D.get_mec,alias for get_markeredgecolor
matplotlib.lines.Line2D.get_mew,alias for get_markeredgewidth
matplotlib.lines.Line2D.get_mfc,alias for get_markerfacecolor
matplotlib.lines.Line2D.get_mfcalt,alias for get_markerfacecoloralt
matplotlib.lines.Line2D.get_ms,alias for get_markersize
matplotlib.lines.Line2D.get_path,Return the Path object associated with this line .
matplotlib.lines.Line2D.get_pickradius,return the pick radius used for containment tests
matplotlib.lines.Line2D.get_solid_capstyle,Get the cap style for solid linestyles
matplotlib.lines.Line2D.get_solid_joinstyle,Get the join style for solid linestyles
matplotlib.lines.Line2D.get_xdata,Return the xdata .
matplotlib.lines.Line2D.get_xydata,Return the xy data as a Nx2 numpy array .
matplotlib.lines.Line2D.get_ydata,Return the ydata .
matplotlib.lines.Line2D.is_dashed,return True if line is dashstyle
matplotlib.lines.Line2D.set_aa,alias for set_antialiased
matplotlib.lines.Line2D.set_antialiased,True if line should be drawin with antialiased rendering
matplotlib.lines.Line2D.set_c,alias for set_color
matplotlib.lines.Line2D.set_color,Set the color of the line
matplotlib.lines.Line2D.set_dash_capstyle,Set the cap style for dashed linestyles
matplotlib.lines.Line2D.set_dash_joinstyle,Set the join style for dashed linestyles ACCEPTS
matplotlib.lines.Line2D.set_dashes,"Set the dash sequence , sequence of dashes with on off ink in points ."
matplotlib.lines.Line2D.set_data,Set the x and y data
matplotlib.lines.Line2D.set_drawstyle,Set the drawstyle of the plot
matplotlib.lines.Line2D.set_fillstyle,Set the marker fill style ; ' full ' means fill the whole marker .
matplotlib.lines.Line2D.set_linestyle,"Set the linestyle of the line ( also accepts drawstyles , e.g. , ' steps - - ' )"
matplotlib.lines.Line2D.set_linewidth,Set the line width in points
matplotlib.lines.Line2D.set_ls,alias for set_linestyle
matplotlib.lines.Line2D.set_lw,alias for set_linewidth
matplotlib.lines.Line2D.set_marker,Set the line marker
matplotlib.lines.Line2D.set_markeredgecolor,Set the marker edge color
matplotlib.lines.Line2D.set_markeredgewidth,Set the marker edge width in points
matplotlib.lines.Line2D.set_markerfacecolor,Set the marker face color .
matplotlib.lines.Line2D.set_markerfacecoloralt,Set the alternate marker face color .
matplotlib.lines.Line2D.set_markersize,Set the marker size in points
matplotlib.lines.Line2D.set_markevery,Set the markevery property to subsample the plot when using markers .
matplotlib.lines.Line2D.set_mec,alias for set_markeredgecolor
matplotlib.lines.Line2D.set_mew,alias for set_markeredgewidth
matplotlib.lines.Line2D.set_mfc,alias for set_markerfacecolor
matplotlib.lines.Line2D.set_mfcalt,alias for set_markerfacecoloralt
matplotlib.lines.Line2D.set_ms,alias for set_markersize
matplotlib.lines.Line2D.set_picker,Sets the event picker details for the line .
matplotlib.lines.Line2D.set_pickradius,Sets the pick radius used for containment tests
matplotlib.lines.Line2D.set_solid_capstyle,Set the cap style for solid linestyles
matplotlib.lines.Line2D.set_solid_joinstyle,Set the join style for solid linestyles ACCEPTS
matplotlib.lines.Line2D.set_transform,set the Transformation instance used by this artist
matplotlib.lines.Line2D.set_xdata,Set the data np.array for x
matplotlib.lines.Line2D.set_ydata,Set the data np.array for y
matplotlib.lines.Line2D.update_from,copy properties from other to self
matplotlib.lines.VertexSelector.onpick,"When the line is picked , update the set of selected indicies ."
matplotlib.lines.VertexSelector.process_selected,"Default "" do nothing "" implementation of the process_selected ( ) method ."
matplotlib.lines.segment_hits,Determine if any line segments are within radius of a point .
matplotlib.markers.MarkerStyle.set_fillstyle,Sets fillstyle
matplotlib.mathtext.Accent.render,Render the character to the canvas .
matplotlib.mathtext.Char.get_kerning,Return the amount of kerning between this and the given character .
matplotlib.mathtext.Char.render,Render the character to the canvas
matplotlib.mathtext.Error,Helper class to raise parser errors .
matplotlib.mathtext.Fonts.destroy,Fix any cyclical references before the object is about to be destroyed .
matplotlib.mathtext.Fonts.get_kern,Get the kerning distance for font between sym1 and sym2 .
matplotlib.mathtext.Fonts.get_metrics,font
matplotlib.mathtext.Fonts.get_results,Get the data needed by the backend to render the math expression .
matplotlib.mathtext.Fonts.get_sized_alternatives_for_symbol,Override if your font provides multiple sizes of the same symbol .
matplotlib.mathtext.Fonts.get_underline_thickness,Get the line thickness that matches the given font .
matplotlib.mathtext.Fonts.get_used_characters,Get the set of characters that were used in the math expression .
matplotlib.mathtext.Fonts.get_xheight,Get the xheight for the given font and fontsize .
matplotlib.mathtext.Fonts.render_glyph,Draw a glyph at
matplotlib.mathtext.Fonts.render_rect_filled,"Draw a filled rectangle from ( x1 , y1 ) to ( x2 , y2 ) ."
matplotlib.mathtext.Fonts.set_canvas_size,Set the size of the buffer used to render the math expression .
matplotlib.mathtext.Hlist.hpack,"The main duty of hpack ( ) is to compute the dimensions of the resulting boxes , and to adjust the glue if one of those dimensions is pre-specified ."
matplotlib.mathtext.Hlist.kern,Insert Kern nodes between Char nodes to set kerning .
matplotlib.mathtext.MathTextParser.get_depth,Returns the offset of the baseline from the bottom of the image in pixels .
matplotlib.mathtext.MathTextParser.parse,Parse the given math expression s at the given dpi .
matplotlib.mathtext.MathTextParser.to_mask,"A valid mathtext string , e.g. , r'IQ"
matplotlib.mathtext.MathTextParser.to_png,Writes a tex expression to a PNG file .
matplotlib.mathtext.MathTextParser.to_rgba,"A valid mathtext string , e.g. , r'IQ"
matplotlib.mathtext.MathtextBackend.get_hinting_type,Get the Freetype hinting type to use with this particular backend .
matplotlib.mathtext.MathtextBackend.get_results,Return a backend-specific tuple to return to the backend after all processing is done .
matplotlib.mathtext.MathtextBackend.render_glyph,"Draw a glyph described by info to the reference point ( ox , oy ) ."
matplotlib.mathtext.MathtextBackend.render_rect_filled,"Draw a filled black rectangle from ( x1 , y1 ) to ( x2 , y2 ) ."
matplotlib.mathtext.MathtextBackend.set_canvas_size,Dimension the drawing canvas
matplotlib.mathtext.Node.grow,Grows one level larger .
matplotlib.mathtext.Node.shrink,Shrinks one level smaller .
matplotlib.mathtext.Parser.get_state,Get the current State of the parser .
matplotlib.mathtext.Parser.parse,"Parse expression s using the given fonts_object for output , at the given fontsize and dpi ."
matplotlib.mathtext.Parser.pop_state,Pop a State off of the stack .
matplotlib.mathtext.Parser.push_state,Push a new State onto the stack which is just a copy of the current state .
matplotlib.mathtext.Vlist.vpack,"The main duty of vpack ( ) is to compute the dimensions of the resulting boxes , and to adjust the glue if one of those dimensions is pre-specified ."
matplotlib.mathtext.get_unicode_index,Return the integer index ( from the Unicode table ) of symbol .
matplotlib.mathtext.math_to_image,"Given a math expression , renders it in a closely-clipped bounding box to an image file ."
matplotlib.mathtext.unichr_safe,"Return the Unicode character corresponding to the index , or the replacement character if this is a narrow build of Python and the requested character is outside the BMP ."
matplotlib.matplotlib_fname,Get the location of the config file .
matplotlib.mlab.GaussianKDE.evaluate,Evaluate the estimated pdf on a set of points .
matplotlib.mlab.PCA.center,center and optionally standardize the data using the mean and sigma from training set a
matplotlib.mlab.PCA.project,"project x onto the principle axes , dropping any axes where fraction of variance<minfrac"
matplotlib.mlab.amap,"Works like map ( ) , but it returns an array ."
matplotlib.mlab.angle_spectrum,Compute the angle of the frequency spectrum ( wrapped phase spectrum ) of x .
matplotlib.mlab.apply_window,Apply the given window to the given 1D or 2D array along the given axis .
matplotlib.mlab.base_repr,Return the representation of a number in any given base .
matplotlib.mlab.binary_repr,Return the binary representation of the input number as a string .
matplotlib.mlab.bivariate_normal,"Bivariate Gaussian distribution for equal shape X , Y ."
matplotlib.mlab.center_matrix,Return the matrix M with each row having zero mean and unit std .
matplotlib.mlab.cohere,The coherence between x and y .
matplotlib.mlab.cohere_pairs,"Compute the coherence and phase for all pairs ij , in X ."
matplotlib.mlab.complex_spectrum,Compute the complex-valued frequency spectrum of x .
matplotlib.mlab.contiguous_regions,"return a list of ( ind0 , ind1 ) such that mask[ind0"
matplotlib.mlab.cross_from_above,"return the indices into x where x crosses some threshold from below , e.g. , the i 's where"
matplotlib.mlab.cross_from_below,"return the indices into x where x crosses some threshold from below , e.g. , the i 's where"
matplotlib.mlab.csd,Compute the cross-spectral density .
matplotlib.mlab.csv2rec,Load data from comma/space/tab delimited file in fname into a numpy record array and return the record array .
matplotlib.mlab.demean,Return x minus its mean along the specified axis .
matplotlib.mlab.detrend,Return x with its trend removed .
matplotlib.mlab.detrend_linear,Return x minus best fit line ; ' linear ' detrending .
matplotlib.mlab.detrend_mean,Return x minus the mean(x ) .
matplotlib.mlab.detrend_none,Return x
matplotlib.mlab.dist,Return the distance between two points .
matplotlib.mlab.dist_point_to_segment,Get the distance of a point to a segment .
matplotlib.mlab.distances_along_curve,Computes the distance between a set of successive points in N dimensions .
matplotlib.mlab.entropy,Return the entropy of the data in y in units of nat .
matplotlib.mlab.exp_safe,Compute exponentials which safely underflow to zero .
matplotlib.mlab.fftsurr,Compute an FFT phase randomized surrogate of x .
matplotlib.mlab.find,Return the indices where ravel(condition ) is true
matplotlib.mlab.frange,Return a numpy ndarray containing a progression of floats .
matplotlib.mlab.get_formatd,build a formatd guaranteed to have a key for every dtype name
matplotlib.mlab.get_sparse_matrix,Return a M x N sparse matrix with frac elements randomly filled .
matplotlib.mlab.get_xyz_where,Z and Cond are M x N matrices .
matplotlib.mlab.griddata,Interpolates from a nonuniformly spaced grid to some other grid .
matplotlib.mlab.identity,"Returns the identity matrix of shape ( n , n , ..."
matplotlib.mlab.inside_poly,"points is a sequence of x , y points ."
matplotlib.mlab.is_closed_polygon,Tests whether first and last object in a sequence are the same .
matplotlib.mlab.ispower2,"Returns the log base 2 of n if n is a power of 2 , zero otherwise ."
matplotlib.mlab.isvector,"Like the MATLAB function with the same name , returns True if the supplied numpy array or matrix X looks like a vector , meaning it has a one non-singleton axis ( i.e. , it can have multiple axes , but all must have length 1 , except for one of them ) ."
matplotlib.mlab.l1norm,"Return the l1 norm of a , flattened out ."
matplotlib.mlab.l2norm,"Return the l2 norm of a , flattened out ."
matplotlib.mlab.less_simple_linear_interpolation,This function provides simple ( but somewhat less so than cbook.simple_linear_interpolation ( ) ) linear interpolation .
matplotlib.mlab.log2,Return the log(x ) in base 2 .
matplotlib.mlab.logspace,Return N values logarithmically spaced between xmin and xmax .
matplotlib.mlab.longest_contiguous_ones,"Return the indices of the longest stretch of contiguous ones in x , assuming x is a vector of zeros and ones ."
matplotlib.mlab.longest_ones,alias for longest_contiguous_ones
matplotlib.mlab.magnitude_spectrum,Compute the magnitude ( absolute value ) of the frequency spectrum of x .
matplotlib.mlab.movavg,Compute the len(n ) moving average of x .
matplotlib.mlab.norm_flat,"norm(a,p=2 ) - > l-p norm of a.flat"
matplotlib.mlab.normpdf,"Return the normal pdf evaluated at x ; args provides mu , sigma"
matplotlib.mlab.offset_line,"Offsets an array y by + / - an error and returns a tuple ( y - err , y + err ) ."
matplotlib.mlab.path_length,Computes the distance travelled along a polygonal curve in N dimensions .
matplotlib.mlab.phase_spectrum,Compute the phase of the frequency spectrum ( unwrapped angle spectrum ) of x .
matplotlib.mlab.poly_below,"Given a sequence of xs and ys , return the vertices of a polygon that has a horizontal base at xmin and an upper bound at the ys ."
matplotlib.mlab.poly_between,"Given a sequence of x , ylower and yupper , return the polygon that fills the regions between them ."
matplotlib.mlab.prctile,Return the percentiles of x .
matplotlib.mlab.prctile_rank,"Return the rank for each element in x , return the rank 0..len(p ) ."
matplotlib.mlab.psd,Compute the power spectral density .
matplotlib.mlab.quad2cubic,Converts a quadratic Bezier curve to a cubic approximation .
matplotlib.mlab.rec2csv,Save the data from numpy recarray r into a comma-/space-/tab-delimited file .
matplotlib.mlab.rec2txt,Returns a textual representation of a record array .
matplotlib.mlab.rec_append_fields,Return a new record array with field names populated with data from arrays in arrs .
matplotlib.mlab.rec_drop_fields,Return a new numpy record array with fields in names dropped .
matplotlib.mlab.rec_groupby,r is a numpy record array
matplotlib.mlab.rec_join,Join record arrays r1 and r2 on key ; key is a tuple of field names - - if key is a string it is assumed to be a single attribute name .
matplotlib.mlab.rec_keep_fields,Return a new numpy record array with only fields listed in names
matplotlib.mlab.rec_summarize,r is a numpy record array
matplotlib.mlab.recs_join,Join a sequence of record arrays on single column key .
matplotlib.mlab.rk4,Integrate 1D or ND system of ODEs using 4-th order Runge-Kutta .
matplotlib.mlab.rms_flat,"Return the root mean square of all the elements of a , flattened out ."
matplotlib.mlab.safe_isinf,numpy.isinf ( ) for arbitrary types
matplotlib.mlab.safe_isnan,numpy.isnan ( ) for arbitrary types
matplotlib.mlab.segments_intersect,Return True if s1 and s2 intersect .
matplotlib.mlab.slopes,slopes ( ) calculates the slope y ' ( x )
matplotlib.mlab.specgram,Compute a spectrogram .
matplotlib.mlab.stineman_interp,"Given data vectors x and y , the slope vector yp and a new abscissa vector xi , the function stineman_interp ( ) uses Stineman interpolation to calculate a vector yi corresponding to xi ."
matplotlib.mlab.stride_repeat,Repeat the values in an array in a memory-efficient manner .
matplotlib.mlab.stride_windows,"Get all windows of x with length n as a single array , using strides to avoid data duplication ."
matplotlib.mlab.vector_lengths,Finds the length of a set of vectors in n dimensions .
matplotlib.mlab.window_hanning,Return x times the hanning window of len(x ) .
matplotlib.mlab.window_none,No window function ; simply return x.
matplotlib.offsetbox.AnchoredOffsetbox.draw,draw the artist
matplotlib.offsetbox.AnchoredOffsetbox.get_bbox_to_anchor,return the bbox that the legend will be anchored
matplotlib.offsetbox.AnchoredOffsetbox.get_child,return the child
matplotlib.offsetbox.AnchoredOffsetbox.get_children,return the list of children
matplotlib.offsetbox.AnchoredOffsetbox.get_extent,return the extent of the artist .
matplotlib.offsetbox.AnchoredOffsetbox.get_window_extent,get the bounding box in display space .
matplotlib.offsetbox.AnchoredOffsetbox.set_bbox_to_anchor,set the bbox that the child will be anchored .
matplotlib.offsetbox.AnchoredOffsetbox.set_child,set the child to be anchored
matplotlib.offsetbox.AnnotationBbox.draw,Draw the Annotation object to the given renderer .
matplotlib.offsetbox.AnnotationBbox.get_fontsize,return fontsize in points
matplotlib.offsetbox.AnnotationBbox.set_fontsize,set fontsize in points
matplotlib.offsetbox.AnnotationBbox.update_positions,Update the pixel positions of the annotated point and the text .
matplotlib.offsetbox.AuxTransformBox.add_artist,Add any Artist to the container box
matplotlib.offsetbox.AuxTransformBox.draw,Draw the children
matplotlib.offsetbox.AuxTransformBox.get_offset,return offset of the container .
matplotlib.offsetbox.AuxTransformBox.get_transform,Return the Transform applied to the children
matplotlib.offsetbox.AuxTransformBox.get_window_extent,get the bounding box in display space .
matplotlib.offsetbox.AuxTransformBox.set_offset,set offset of the container .
matplotlib.offsetbox.AuxTransformBox.set_transform,set_transform is ignored .
matplotlib.offsetbox.DraggableBase.disconnect,disconnect the callbacks
matplotlib.offsetbox.DrawingArea.add_artist,Add any Artist to the container box
matplotlib.offsetbox.DrawingArea.draw,Draw the children
matplotlib.offsetbox.DrawingArea.get_extent,"Return with , height , xdescent , ydescent of box"
matplotlib.offsetbox.DrawingArea.get_offset,return offset of the container .
matplotlib.offsetbox.DrawingArea.get_transform,Return the Transform applied to the children
matplotlib.offsetbox.DrawingArea.get_window_extent,get the bounding box in display space .
matplotlib.offsetbox.DrawingArea.set_offset,set offset of the container .
matplotlib.offsetbox.DrawingArea.set_transform,set_transform is ignored .
matplotlib.offsetbox.HPacker.get_extent_offsets,update offset of children and return the extents of the box
matplotlib.offsetbox.OffsetBox.draw,Update the location of children if necessary and draw them to the given renderer .
matplotlib.offsetbox.OffsetBox.get_children,Return a list of artists it contains .
matplotlib.offsetbox.OffsetBox.get_extent,"Return with , height , xdescent , ydescent of box"
matplotlib.offsetbox.OffsetBox.get_offset,Get the offset
matplotlib.offsetbox.OffsetBox.get_visible_children,Return a list of visible artists it contains .
matplotlib.offsetbox.OffsetBox.get_window_extent,get the bounding box in display space .
matplotlib.offsetbox.OffsetBox.set_figure,Set the figure
matplotlib.offsetbox.OffsetBox.set_height,Set the height
matplotlib.offsetbox.OffsetBox.set_offset,Set the offset
matplotlib.offsetbox.OffsetBox.set_width,Set the width
matplotlib.offsetbox.OffsetImage.draw,Draw the children
matplotlib.offsetbox.OffsetImage.get_offset,return offset of the container .
matplotlib.offsetbox.OffsetImage.get_window_extent,get the bounding box in display space .
matplotlib.offsetbox.PaddedBox.draw,Update the location of children if necessary and draw them to the given renderer .
matplotlib.offsetbox.PaddedBox.get_extent_offsets,update offset of childrens and return the extents of the box
matplotlib.offsetbox.TextArea.draw,Draw the children
matplotlib.offsetbox.TextArea.get_minimumdescent,get minimumdescent .
matplotlib.offsetbox.TextArea.get_multilinebaseline,get multilinebaseline .
matplotlib.offsetbox.TextArea.get_offset,return offset of the container .
matplotlib.offsetbox.TextArea.get_text,get text
matplotlib.offsetbox.TextArea.get_window_extent,get the bounding box in display space .
matplotlib.offsetbox.TextArea.set_minimumdescent,Set minimumdescent .
matplotlib.offsetbox.TextArea.set_multilinebaseline,Set multilinebaseline .
matplotlib.offsetbox.TextArea.set_offset,set offset of the container .
matplotlib.offsetbox.TextArea.set_text,set text
matplotlib.offsetbox.TextArea.set_transform,set_transform is ignored .
matplotlib.offsetbox.VPacker.get_extent_offsets,update offset of childrens and return the extents of the box
matplotlib.patches.Arc.draw,Ellipses are normally drawn using an approximation that uses eight cubic bezier splines .
matplotlib.patches.Circle.get_radius,return the radius of the circle
matplotlib.patches.Circle.set_radius,Set the radius of the circle
matplotlib.patches.ConnectionPatch.draw,Draw .
matplotlib.patches.ConnectionPatch.get_annotation_clip,Return annotation_clip attribute .
matplotlib.patches.ConnectionPatch.get_path_in_displaycoord,Return the mutated path of the arrow in the display coord
matplotlib.patches.ConnectionPatch.set_annotation_clip,set annotation_clip attribute .
matplotlib.patches.Ellipse.get_path,Return the vertices of the rectangle
matplotlib.patches.FancyArrowPatch.get_arrowstyle,Return the arrowstyle object
matplotlib.patches.FancyArrowPatch.get_connectionstyle,Return the ConnectionStyle instance
matplotlib.patches.FancyArrowPatch.get_dpi_cor,dpi_cor is currently used for linewidth-related things and shink factor .
matplotlib.patches.FancyArrowPatch.get_mutation_aspect,Return the aspect ratio of the bbox mutation .
matplotlib.patches.FancyArrowPatch.get_mutation_scale,Return the mutation scale .
matplotlib.patches.FancyArrowPatch.get_path,return the path of the arrow in the data coordinate .
matplotlib.patches.FancyArrowPatch.get_path_in_displaycoord,Return the mutated path of the arrow in the display coord
matplotlib.patches.FancyArrowPatch.set_arrowstyle,Set the arrow style .
matplotlib.patches.FancyArrowPatch.set_connectionstyle,Set the connection style .
matplotlib.patches.FancyArrowPatch.set_dpi_cor,dpi_cor is currently used for linewidth-related things and shink factor .
matplotlib.patches.FancyArrowPatch.set_mutation_aspect,Set the aspect ratio of the bbox mutation .
matplotlib.patches.FancyArrowPatch.set_mutation_scale,Set the mutation scale .
matplotlib.patches.FancyArrowPatch.set_patchA,set the begin patch .
matplotlib.patches.FancyArrowPatch.set_patchB,set the begin patch
matplotlib.patches.FancyArrowPatch.set_positions,set the begin end end positions of the connecting path .
matplotlib.patches.FancyBboxPatch.get_boxstyle,Return the boxstyle object
matplotlib.patches.FancyBboxPatch.get_height,Return the height of the rectangle
matplotlib.patches.FancyBboxPatch.get_mutation_aspect,Return the aspect ratio of the bbox mutation .
matplotlib.patches.FancyBboxPatch.get_mutation_scale,Return the mutation scale .
matplotlib.patches.FancyBboxPatch.get_path,Return the mutated path of the rectangle
matplotlib.patches.FancyBboxPatch.get_width,Return the width of the rectangle
matplotlib.patches.FancyBboxPatch.get_x,Return the left coord of the rectangle
matplotlib.patches.FancyBboxPatch.get_y,Return the bottom coord of the rectangle
matplotlib.patches.FancyBboxPatch.set_bounds,Set the bounds of the rectangle
matplotlib.patches.FancyBboxPatch.set_boxstyle,Set the box style .
matplotlib.patches.FancyBboxPatch.set_height,Set the width rectangle
matplotlib.patches.FancyBboxPatch.set_mutation_aspect,Set the aspect ratio of the bbox mutation .
matplotlib.patches.FancyBboxPatch.set_mutation_scale,Set the mutation scale .
matplotlib.patches.FancyBboxPatch.set_width,Set the width rectangle
matplotlib.patches.FancyBboxPatch.set_x,Set the left coord of the rectangle
matplotlib.patches.FancyBboxPatch.set_y,Set the bottom coord of the rectangle
matplotlib.patches.Patch.contains,Test whether the mouse event occurred in the patch .
matplotlib.patches.Patch.contains_point,Returns True if the given point is inside the path ( transformed with its transform attribute ) .
matplotlib.patches.Patch.draw,Draw the Patch to the given renderer .
matplotlib.patches.Patch.get_aa,Returns True if the Patch is to be drawn with antialiasing .
matplotlib.patches.Patch.get_antialiased,Returns True if the Patch is to be drawn with antialiasing .
matplotlib.patches.Patch.get_capstyle,Return the current capstyle
matplotlib.patches.Patch.get_data_transform,Return the Transform instance which maps data coordinates to physical coordinates .
matplotlib.patches.Patch.get_ec,Return the edge color of the Patch .
matplotlib.patches.Patch.get_edgecolor,Return the edge color of the Patch .
matplotlib.patches.Patch.get_extents,Return a Bbox object defining the axis-aligned extents of the Patch .
matplotlib.patches.Patch.get_facecolor,Return the face color of the Patch .
matplotlib.patches.Patch.get_fc,Return the face color of the Patch .
matplotlib.patches.Patch.get_fill,return whether fill is set
matplotlib.patches.Patch.get_hatch,Return the current hatching pattern
matplotlib.patches.Patch.get_joinstyle,Return the current joinstyle
matplotlib.patches.Patch.get_linestyle,Return the linestyle .
matplotlib.patches.Patch.get_linewidth,Return the line width in points .
matplotlib.patches.Patch.get_ls,Return the linestyle .
matplotlib.patches.Patch.get_lw,Return the line width in points .
matplotlib.patches.Patch.get_patch_transform,Return the Transform instance which takes patch coordinates to data coordinates .
matplotlib.patches.Patch.get_path,Return the path of this patch
matplotlib.patches.Patch.get_transform,Return the Transform applied to the Patch .
matplotlib.patches.Patch.get_verts,Return a copy of the vertices used in this patch
matplotlib.patches.Patch.set_aa,alias for set_antialiased
matplotlib.patches.Patch.set_alpha,Set the alpha tranparency of the patch .
matplotlib.patches.Patch.set_antialiased,Set whether to use antialiased rendering
